nama_id,frekuensi,kategori,umur_kulkas,umur_suhu_ruang,umur_freezer,kalori_per_100g,protein_g,lemak_g,karbo_g,karbon_co2e
mentimun,2,sayuran,7,2,0,0.0,0.0,0.0,0.0,0.426
saus keju,2,bumbu,14,7,0,326.0,22.8,20.3,13.1,
singkong,2,sayuran,5,3,30,0.0,0.0,0.0,0.0,0.881
tepung keto,2,karbohidrat,365,180,0,0.0,0.0,0.0,0.0,
salmon fillet,2,olahan,5,1,0,0.0,0.0,0.0,0.0,1.913
bubuk ketumbar,2,rempah,365,180,0,404.0,14.1,16.1,54.2,
bawang putih uleg,2,bumbu,30,14,0,95.0,4.5,0.2,23.1,1.165
bihun,2,karbohidrat,365,365,0,360.0,4.7,0.1,82.1,4.246
nasi lontong,2,karbohidrat,2,1,30,180.0,3.0,0.3,39.8,
kepala,2,rempah,365,180,0,0.0,0.0,0.0,0.0,
garam kaldu sapi bubuk,2,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
paprika merah hijau,2,sayuran,7,3,30,0.0,0.0,0.0,0.0,0.656
cuka apel,2,bumbu,365,365,0,12.0,0.1,0.1,5.0,1.509
minyak ikan,2,protein_hewani,2,0,90,902.0,0.0,100.0,0.0,9.343
daging sapi kambing ayam,2,protein_hewani,3,0,120,0.0,0.0,0.0,0.0,69.927
